-5528.88888888889,	-24.13114754098360
-4699.25925925926,	-23.868852459016400
-3810.37037037037,	-23.59016393442620
-2933.33333333333,	-23.393442622950800
-2032.59259259259,	-23.098360655737700
-1191.11111111111,	-22.721311475409800
-622.222222222223,	-22.213114754098400
-219.259259259260,	-21.32786885245900
-100.740740740742,	-20.442622950819700
-17.7777777777774,	-19.901639344262300
77.0370370370365,	-20.393442622950800
159.9999999999990,	-21.229508196721300
385.1851851851840,	-22.016393442623000
752.5925925925920,	-22.639344262295100
1285.925925925930,	-23.19672131147540
1925.925925925930,	-23.688524590163900
2791.111111111110,	-24.049180327868900
3608.888888888890,	-24.098360655737700
4082.962962962960,	-24.016393442623000